text,key
someone is <mask> than mouth,larger
friend is <mask> than head,larger
someone is <mask> than glass,larger
shoulder is <mask> than sea,smaller
parcel is <mask> than hand,larger
shop is <mask> than state,smaller
chair is <mask> than floor,smaller
gentleman is <mask> than breath,larger
step is <mask> than ear,larger
gentleman is <mask> than child,larger
house is <mask> than sun,smaller
clock is <mask> than friend,smaller
body is <mask> than camp,smaller
world is <mask> than continent,larger
brother is <mask> than violin,larger
world is <mask> than way,larger
worker is <mask> than store,smaller
bag is <mask> than floor,smaller
hair is <mask> than eye,smaller
father is <mask> than block,larger
home is <mask> than boat,larger
house is <mask> than gate,larger
father is <mask> than room,smaller
cup is <mask> than wife,smaller
hair is <mask> than sink,smaller
car is <mask> than wife,larger
head is <mask> than wind,smaller
gulp is <mask> than bottle,smaller
world is <mask> than head,larger
town is <mask> than road,larger
piece is <mask> than object,smaller
knee is <mask> than fist,larger
street is <mask> than light,larger
side is <mask> than sea,smaller
person is <mask> than tree,smaller
father is <mask> than ice,larger
eye is <mask> than wife,smaller
brother is <mask> than side,larger
back is <mask> than hair,larger
sip is <mask> than glass,smaller
victim is <mask> than side,larger
office is <mask> than room,larger
boy is <mask> than train,smaller
lady is <mask> than body,larger
hair is <mask> than door,smaller
wife is <mask> than throat,larger
foot is <mask> than hand,larger
stone is <mask> than vessel,smaller
person is <mask> than breath,larger
friend is <mask> than book,larger
house is <mask> than abode,larger
state is <mask> than system,larger
gentleman is <mask> than road,smaller
cross is <mask> than face,smaller
chair is <mask> than knee,larger
door is <mask> than elbow,larger
flood is <mask> than face,larger
magistrate is <mask> than basin,larger
door is <mask> than flood,smaller
arm is <mask> than body,smaller
magistrate is <mask> than child,larger
sun is <mask> than hand,larger
gentleman is <mask> than bed,smaller
wife is <mask> than fist,larger
friend is <mask> than shirt,larger
someone is <mask> than breath,larger
bench is <mask> than arm,larger
car is <mask> than light,larger
messenger is <mask> than place,smaller
beard is <mask> than head,smaller
stone is <mask> than lip,larger
hat is <mask> than road,smaller
person is <mask> than stair,larger
daughter is <mask> than phone,larger
boy is <mask> than tree,smaller
state is <mask> than farm,larger
air is <mask> than lock,larger
ground is <mask> than bed,larger
abode is <mask> than mountain,smaller
suit is <mask> than room,smaller
daughter is <mask> than light,smaller
coach is <mask> than corner,smaller
person is <mask> than base,larger
poet is <mask> than room,smaller
step is <mask> than door,smaller
door is <mask> than lock,larger
hat is <mask> than tree,smaller
lady is <mask> than seal,larger
lady is <mask> than light,larger
hair is <mask> than sun,smaller
place is <mask> than ball,larger
shop is <mask> than place,larger
stone is <mask> than ship,smaller
barn is <mask> than head,larger
foot is <mask> than precipice,smaller
place is <mask> than end,larger
person is <mask> than coward,larger
arm is <mask> than child,smaller
city is <mask> than hand,larger
place is <mask> than block,larger
meal is <mask> than restaurant,smaller
hair is <mask> than dress,smaller
everything is <mask> than something,larger
city is <mask> than face,larger
lady is <mask> than state,smaller
person is <mask> than scissors,larger
messenger is <mask> than mountain,smaller
father is <mask> than boat,smaller
body is <mask> than picture,larger
nose is <mask> than skirt,smaller
glass is <mask> than head,smaller
step is <mask> than floor,smaller
foot is <mask> than back,smaller
everything is <mask> than farm,larger
door is <mask> than cross,larger
pocket is <mask> than car,smaller
wall is <mask> than fist,larger
person is <mask> than arm,larger
eye is <mask> than suit,smaller
eye is <mask> than tree,smaller
grass is <mask> than face,larger
head is <mask> than king,smaller
person is <mask> than river,smaller
clock is <mask> than head,smaller
someone is <mask> than truck,smaller
father is <mask> than bow,larger
hill is <mask> than breath,larger
place is <mask> than bottle,larger
room is <mask> than magazine,larger
chest is <mask> than head,larger
dress is <mask> than floor,smaller
body is <mask> than wife,larger
tree is <mask> than grass,larger
fox is <mask> than ground,smaller
hair is <mask> than light,smaller
chair is <mask> than room,smaller
father is <mask> than street,smaller
father is <mask> than glass,larger
sun is <mask> than picture,larger
daughter is <mask> than doorway,smaller
boy is <mask> than king,smaller
wife is <mask> than light,larger
cup is <mask> than king,smaller
door is <mask> than head,larger
tree is <mask> than wife,larger
brother is <mask> than place,smaller
sun is <mask> than scene,larger
tree is <mask> than object,larger
door is <mask> than bottle,larger
lady is <mask> than watch,larger
father is <mask> than chest,larger
father is <mask> than prison,smaller
someone is <mask> than car,smaller
place is <mask> than magazine,larger
horse is <mask> than wife,larger
flood is <mask> than picture,larger
cup is <mask> than pocket,larger
phone is <mask> than hand,smaller
river is <mask> than basin,larger
finger is <mask> than knife,smaller
side is <mask> than door,larger
sea is <mask> than base,larger
eye is <mask> than room,smaller
father is <mask> than mouth,larger
king is <mask> than wind,smaller
clothes is <mask> than mouth,larger
father is <mask> than back,larger
teacher is <mask> than boy,larger
meal is <mask> than daughter,smaller
window is <mask> than face,larger
someone is <mask> than tree,smaller
street is <mask> than book,larger
bag is <mask> than book,larger
stone is <mask> than continent,smaller
lady is <mask> than dress,larger
head is <mask> than newspaper,smaller
foot is <mask> than horse,smaller
horse is <mask> than head,larger
back is <mask> than dress,smaller
someone is <mask> than hair,larger
gentleman is <mask> than hand,larger
father is <mask> than hill,smaller
arm is <mask> than elbow,larger
door is <mask> than fist,larger
body is <mask> than suit,larger
parcel is <mask> than room,smaller
finger is <mask> than town,smaller
sea is <mask> than train,larger
food is <mask> than door,smaller
friend is <mask> than picture,larger
place is <mask> than wife,larger
father is <mask> than ear,larger
banker is <mask> than room,smaller
step is <mask> than room,smaller
someone is <mask> than restaurant,smaller
father is <mask> than picture,larger
shoulder is <mask> than wall,smaller
person is <mask> than suit,larger
boy is <mask> than violin,larger
someone is <mask> than book,larger
coach is <mask> than tree,larger
wife is <mask> than ship,smaller
camp is <mask> than road,larger
step is <mask> than place,smaller
bag is <mask> than clothes,smaller
person is <mask> than head,larger
head is <mask> than road,smaller
father is <mask> than lamp,larger
person is <mask> than foot,larger
floor is <mask> than hand,larger
sun is <mask> than torrent,larger
abode is <mask> than side,larger
watch is <mask> than room,smaller
breath is <mask> than head,smaller
ground is <mask> than place,larger
someone is <mask> than king,larger
town is <mask> than ball,larger
person is <mask> than sink,larger
boy is <mask> than tree,smaller
food is <mask> than city,smaller
person is <mask> than abode,smaller
lady is <mask> than world,smaller
newspaper is <mask> than farm,smaller
foot is <mask> than base,smaller
chest is <mask> than room,smaller
father is <mask> than lady,larger
city is <mask> than shore,larger
body is <mask> than eye,larger
shop is <mask> than room,larger
lip is <mask> than mouth,smaller
person is <mask> than store,smaller
house is <mask> than room,larger
boat is <mask> than element,larger
air is <mask> than hand,larger
home is <mask> than state,smaller
world is <mask> than clothes,larger
arm is <mask> than place,smaller
world is <mask> than ear,larger
town is <mask> than hand,larger
father is <mask> than gate,larger
person is <mask> than shippe,smaller
nose is <mask> than glass,smaller
train is <mask> than wife,larger
suit is <mask> than head,larger
town is <mask> than face,larger
person is <mask> than teacher,larger
clothes is <mask> than eye,larger
lady is <mask> than pocket,larger
foot is <mask> than face,larger
watch is <mask> than hand,smaller
king is <mask> than gate,smaller
person is <mask> than window,larger
bank is <mask> than step,larger
everything is <mask> than breath,larger
car is <mask> than piece,larger
ground is <mask> than river,larger
tree is <mask> than store,smaller
friend is <mask> than town,smaller
brother is <mask> than glass,larger
foot is <mask> than victim,smaller
friend is <mask> than end,larger
coast is <mask> than door,larger
patient is <mask> than floor,smaller
horse is <mask> than gate,smaller
dinner is <mask> than hand,larger
arm is <mask> than shirt,smaller
throat is <mask> than mouth,larger
coast is <mask> than coal,larger
glass is <mask> than train,smaller
knife is <mask> than face,smaller
boat is <mask> than tree,larger
chest is <mask> than end,larger
boat is <mask> than rain,larger
food is <mask> than bag,smaller
suit is <mask> than bed,smaller
lady is <mask> than tree,smaller
lady is <mask> than sun,smaller
body is <mask> than hand,larger
friend is <mask> than road,smaller
breath is <mask> than town,smaller
friend is <mask> than wife,larger
spoon is <mask> than continent,smaller
head is <mask> than hand,larger
father is <mask> than city,smaller
