,text,key
0,someone is larger than mouth,larger
1,friend is larger than head,larger
2,someone is larger than glass,larger
3,shoulder is smaller than sea,smaller
4,parcel is larger than hand,larger
5,shop is smaller than state,smaller
6,chair is smaller than floor,smaller
7,gentleman is larger than breath,larger
8,step is larger than ear,larger
9,gentleman is larger than child,larger
10,house is smaller than sun,smaller
11,clock is smaller than friend,smaller
12,body is smaller than camp,smaller
13,world is larger than continent,larger
14,brother is larger than violin,larger
15,world is larger than way,larger
16,worker is smaller than store,smaller
17,bag is smaller than floor,smaller
18,hair is smaller than eye,smaller
19,father is larger than block,larger
20,home is larger than boat,larger
21,house is larger than gate,larger
22,father is smaller than room,smaller
23,cup is smaller than wife,smaller
24,hair is smaller than sink,smaller
25,car is larger than wife,larger
26,head is smaller than wind,smaller
27,gulp is smaller than bottle,smaller
28,world is larger than head,larger
29,town is larger than road,larger
30,piece is smaller than object,smaller
31,knee is larger than fist,larger
32,street is larger than light,larger
33,side is smaller than sea,smaller
34,person is smaller than tree,smaller
35,father is larger than ice,larger
36,eye is smaller than wife,smaller
37,brother is larger than side,larger
38,back is larger than hair,larger
39,sip is smaller than glass,smaller
40,victim is larger than side,larger
41,office is larger than room,larger
42,boy is smaller than train,smaller
43,lady is larger than body,larger
44,hair is smaller than door,smaller
45,wife is larger than throat,larger
46,foot is larger than hand,larger
47,stone is smaller than vessel,smaller
48,person is larger than breath,larger
49,friend is larger than book,larger
50,house is larger than abode,larger
51,state is larger than system,larger
52,gentleman is smaller than road,smaller
53,cross is smaller than face,smaller
54,chair is larger than knee,larger
55,door is larger than elbow,larger
56,flood is larger than face,larger
57,magistrate is larger than basin,larger
58,door is smaller than flood,smaller
59,arm is smaller than body,smaller
60,magistrate is larger than child,larger
61,sun is larger than hand,larger
62,gentleman is smaller than bed,smaller
63,wife is larger than fist,larger
64,friend is larger than shirt,larger
65,someone is larger than breath,larger
66,bench is larger than arm,larger
67,car is larger than light,larger
68,messenger is smaller than place,smaller
69,beard is smaller than head,smaller
70,stone is larger than lip,larger
71,hat is smaller than road,smaller
72,person is larger than stair,larger
73,daughter is larger than phone,larger
74,boy is smaller than tree,smaller
75,state is larger than farm,larger
76,air is larger than lock,larger
77,ground is larger than bed,larger
78,abode is smaller than mountain,smaller
79,suit is smaller than room,smaller
80,daughter is smaller than light,smaller
81,coach is smaller than corner,smaller
82,person is larger than base,larger
83,poet is smaller than room,smaller
84,step is smaller than door,smaller
